HOG	OG	Gene_Tree	carinata.protein	galeata.protein	magna.protein	pulex.euro.protein	pulex.nam.protein	pulicaria.protein	sinensis.protein
N0.HOG0007836	OG0006409	n0	XP_057369267.1	CAH0106421.1	XP_032783550.1	Daphnia00132-RA	XP_046459469.1	XP_046646258.1	KAI9558985.1
N0.HOG0007837	OG0006410	n0	XP_057369270.1	CAH0106422.1	XP_032783522.2	Daphnia00133-RC	XP_046459455.1	XP_046645463.1	KAI9558984.1
N0.HOG0007838	OG0006411	n0	XP_057369271.1	CAH0106418.1	XP_032783526.2	Daphnia00127-RB	XP_046459433.1	XP_046645658.1	KAI9558988.1
N0.HOG0007839	OG0006412	n0	XP_057369280.1	CAH0099143.1	XP_032783308.2	Daphnia00531-RA	XP_046459191.1	XP_046637933.1	KAI9559097.1
N0.HOG0007840	OG0006413	n0	XP_057369281.1	CAH0104569.1	XP_045029111.1	Daphnia01695-RA	XP_046458148.1	XP_046647536.1	KAI9558687.1
N0.HOG0007841	OG0006414	n0	XP_057369282.1	CAH0104574.1	XP_032782916.1	Daphnia01693-RA	XP_046457377.1	XP_046648486.1	KAI9558688.1
N0.HOG0007842	OG0006415	n0	XP_057369285.1	CAH0106348.1	XP_032783774.2	Daphnia00189-RA	XP_046460079.1	XP_046645511.1	KAI9558794.1
N0.HOG0007843	OG0006416	n0	XP_057369287.1	CAH0106353.1	XP_032783775.2	Daphnia00185-RA	XP_046460081.1	XP_046645529.1	KAI9558787.1
N0.HOG0007844	OG0006417	n0	XP_057369291.1	CAH0105726.1	XP_032798474.2	Daphnia00543-RA	XP_046457439.1	XP_046637961.1	KAI9558818.1
N0.HOG0007845	OG0006418	n0	XP_057369297.1	CAH0106368.1	XP_032782977.1	Daphnia00174-RA	XP_046458813.1	XP_046645877.1	KAI9558782.1
N0.HOG0007846	OG0006419	n0	XP_057369298.1	CAH0109961.1	XP_045026611.1	Daphnia03755-RA	XP_046463759.1	XP_046632387.1	KAI9555267.1
N0.HOG0007847	OG0006420	n0	XP_057369299.1	CAH0109670.1	XP_032783808.2	Daphnia00595-RA	XP_046458924.1	XP_046638050.1	KAI9558843.1
N0.HOG0007848	OG0006421	n0	XP_057369305.1	CAH0106366.1	XP_032782978.2	Daphnia00176-RA	XP_046458814.1	XP_046646112.1	KAI9558784.1
N0.HOG0007849	OG0006422	n0	XP_057369306.1	CAH0106346.1	XP_032783829.2	Daphnia00191-RA	XP_046457315.1	XP_046645963.1	KAI9558796.1
N0.HOG0007850	OG0006423	n0	XP_057369309.1	CAH0099392.1	XP_032779958.2	Daphnia03289-RB	XP_046437848.1	XP_046652183.1	KAI9555326.1
N0.HOG0007851	OG0006424	n0	XP_057369314.1	CAH0105723.1	XP_032798480.1	Daphnia00546-RB	XP_046456969.1	XP_046638311.1	KAI9558819.1
N0.HOG0007852	OG0006425	n0	XP_057369318.1	CAH0104270.1	XP_045026341.1	Daphnia03777-RA	XP_046437318.1	XP_046653442.1	KAI9555274.1
N0.HOG0007853	OG0006426	n0	XP_057369331.1	CAH0105722.1	XP_032798481.1	Daphnia00547-RA	XP_046456970.1	XP_046638459.1	KAI9558820.1
N0.HOG0007854	OG0006427	n0	XP_057369340.1	CAH0106907.1	XP_032798463.1	Daphnia00568-RC	XP_046458863.1	XP_046638527.1	KAI9558804.1
N0.HOG0007855	OG0006428	n0	XP_057369344.1	CAH0099379.1	XP_032779944.2	Daphnia03300-RA	XP_046436865.1	XP_046651011.1	KAI9555312.1
N0.HOG0007856	OG0006429	n0	XP_057369356.1	CAH0111435.1	XP_032781296.2	Daphnia03313-RA	XP_046436830.1	XP_046652387.1	KAI9555299.1
N0.HOG0007857	OG0006430	n0	XP_057369359.1	CAH0106351.1	XP_032783778.1	Daphnia00187-RA	XP_046460082.1	XP_046645610.1	KAI9558790.1
N0.HOG0007858	OG0006431	n0	XP_057369368.1	CAH0111428.1	XP_032781335.1	Daphnia03318-RA	XP_046436846.1	XP_046652506.1	KAI9555290.1
N0.HOG0007859	OG0006432	n0	XP_057369369.1	CAH0111086.1	XP_032784471.2	Daphnia00737-RA	XP_046459177.1	XP_046637831.1	KAI9559347.1
N0.HOG0007860	OG0006433	n0	XP_057369378.1	CAH0101317.1	XP_032784032.2	Daphnia00781-RA	XP_046457009.1	XP_046637901.1	KAI9559386.1
N0.HOG0007861	OG0006434	n0	XP_057369381.1	CAH0101313.1	XP_032784042.2	Daphnia00784-RA	XP_046457021.1	XP_046637927.1	KAI9559381.1
N0.HOG0007862	OG0006435	n0	XP_057369384.1	CAH0111124.1	XP_032784046.2	Daphnia00738-RA	XP_046459182.1	XP_046637944.1	KAI9559389.1
N0.HOG0007863	OG0006436	n0	XP_057369386.1	CAH0111118.1	XP_032784038.2	Daphnia00745-RA	XP_046458284.1	XP_046637929.1	KAI9559393.1
N0.HOG0007864	OG0006437	n0	XP_057369388.1	CAH0101312.1	XP_045029126.1	Daphnia00785-RA	XP_046457022.1	XP_046637943.1	KAI9559380.1
N0.HOG0007865	OG0006438	n0	XP_057369393.1	CAH0111084.1	XP_032784486.2	Daphnia00735-RA	XP_046459175.1	XP_046637982.1	KAI9559346.1
N0.HOG0007866	OG0006439	n0	XP_057369397.1	CAH0111090.1	XP_045029165.1	Daphnia00773-RA	XP_046458722.1	XP_046638110.1	KAI9559350.1
N0.HOG0007867	OG0006440	n0	XP_057369400.1	CAH0101315.1	XP_045029131.1	Daphnia00782-RC	XP_046457013.1	XP_046638165.1	KAI9559383.1
N0.HOG0007868	OG0006441	n0	XP_057369409.1	CAH0111109.1	XP_032784078.2	Daphnia00759-RB	XP_046458330.1	XP_046638309.1	KAI9559374.1
N0.HOG0007869	OG0006442	n0	XP_057369418.1	CAH0111083.1	XP_045029169.1	Daphnia00734-RA	XP_046459176.1	XP_046638447.1	KAI9559345.1
N0.HOG0007870	OG0006443	n0	XP_057369420.1	CAH0111107.1	XP_032784092.2	Daphnia00761-RA	XP_046458334.1	XP_046638474.1	KAI9559371.1
N0.HOG0007871	OG0006444	n0	XP_057369424.1	CAH0101297.1	XP_032784097.2	Daphnia00797-RA	XP_046458839.1	XP_046637800.1	KAI9559412.1
N0.HOG0007872	OG0006445	n0	XP_057369426.1	CAH0101318.1	XP_032784105.2	Daphnia00780-RA	XP_046457018.1	XP_046638500.1	KAI9559387.1
N0.HOG0007873	OG0006446	n0	XP_057369429.1	CAH0101305.1	XP_032784107.1	Daphnia00791-RA	XP_046458717.1	XP_046638547.1	KAI9559405.1
N0.HOG0007874	OG0006447	n0	XP_057369434.1	CAH0111119.1	XP_032784112.1	Daphnia00744-RA	XP_046458289.1	XP_046638567.1	KAI9559392.1
N0.HOG0007875	OG0006448	n0	XP_057369437.1	CAH0099338.1	XP_045029114.1	Daphnia05393-RA	XP_046450329.1	XP_046640545.1	KAI9559411.1
N0.HOG0007876	OG0006449	n0	XP_057369442.1	CAH0113560.1	XP_032783692.2	Daphnia00313-RA	XP_046456420.1	XP_046645517.1	KAI9558883.1
N0.HOG0007877	OG0006450	n0	XP_057369459.1	CAH0106988.1	XP_032783724.1, XP_032783726.1		XP_046456354.1	XP_046644030.1	KAI9558886.1
N0.HOG0007878	OG0006451	n0	XP_057369477.1	CAH0113572.1	XP_045028481.1	Daphnia00302-RA	XP_046456400.1	XP_046645923.1	KAI9558874.1
N0.HOG0007879	OG0006452	n0	XP_057369478.1	CAH0113564.1	XP_032783735.2	Daphnia00310-RA	XP_046456447.1	XP_046645926.1	KAI9558881.1
N0.HOG0007880	OG0006453	n0	XP_057369481.1	CAH0109965.1	XP_032780485.2	Daphnia03750-RA	XP_046437951.1	XP_046632634.1	KAI9555757.1
N0.HOG0007881	OG0006454	n0	XP_057369482.1	CAH0113570.1	XP_032783768.2	Daphnia00304-RA	XP_046456403.1	XP_046645973.1	KAI9558876.1
N0.HOG0007882	OG0006455	n0	XP_057369489.1	CAH0109654.1	XP_032783848.1	Daphnia00574-RC	XP_046458885.1	XP_046638519.1	KAI9558854.1
N0.HOG0007883	OG0006456	n0	XP_057369490.1	CAH0113571.1	XP_032783769.2	Daphnia00303-RA	XP_046456417.1	XP_046646283.1	KAI9558875.1
N0.HOG0007884	OG0006457	n0	XP_057369491.1	CAH0113558.1	XP_032783752.1	Daphnia00315-RA	XP_046456455.1	XP_046646286.1	KAI9558884.1
N0.HOG0007885	OG0006458	n0	XP_057369500.1, XP_057369499.1	CAH0109073.1		Daphnia00459-RB	XP_046456777.1	XP_046637816.1	KAI9559040.1
N0.HOG0007886	OG0006459	n0	XP_057369502.1	CAH0106402.1	XP_032783425.2	Daphnia00114-RA	XP_046459415.1	XP_046645546.1	KAI9559026.1
N0.HOG0007887	OG0006460	n0	XP_057369503.1	CAH0106404.1	XP_032783426.2	Daphnia00116-RB	XP_046459417.1	XP_046645591.1	KAI9559028.1
N0.HOG0007888	OG0006461	n0	XP_057369505.1	CAH0109093.1	XP_032783356.2	Daphnia00484-RA	XP_046456869.1	XP_046637886.1	KAI9559069.1
N0.HOG0007889	OG0006462	n0	XP_057369508.1	CAH0106390.1	XP_045028887.1	Daphnia00102-RA	XP_046459373.1	XP_046645666.1	KAI9559001.1
N0.HOG0007890	OG0006463	n0	XP_057369520.1	CAH0109112.1	XP_032783389.1	Daphnia00502-RA	XP_046456837.1	XP_046637934.1	KAI9559048.1
N0.HOG0007891	OG0006464	n0	XP_057369522.1	CAH0106456.1	XP_032783436.2	Daphnia00249-RA	XP_046456242.1	XP_046645753.1	KAI9559018.1
N0.HOG0007892	OG0006465	n0	XP_057369527.1, XP_057369524.1	CAH0106387.1		Daphnia00100-RC	XP_046459380.1	XP_046645757.1	KAI9559004.1
N0.HOG0007893	OG0006466	n0	XP_057369530.1	CAH0109071.1	XP_032783413.2	Daphnia00461-RA	XP_046456793.1	XP_046637941.1	KAI9559038.1
N0.HOG0007894	OG0006467	n0	XP_057369534.1	CAH0106452.1	XP_032783438.2	Daphnia00245-RA	XP_046456251.1	XP_046645799.1	KAI9559014.1
N0.HOG0007895	OG0006468	n0	XP_057369535.1	CAH0108070.1	XP_032783386.2	Daphnia05627-RA	XP_046440860.1	XP_046639425.1	KAI9559057.1
N0.HOG0007896	OG0006469	n0	XP_057369536.1	CAH0109102.1	XP_032783359.1	Daphnia00494-RA	XP_046456892.1	XP_046637992.1	KAI9559059.1
N0.HOG0007897	OG0006470	n0	XP_057369540.1	CAH0109072.1	XP_032783414.1	Daphnia00460-RC	XP_046456796.1	XP_046638013.1	KAI9559039.1
N0.HOG0007898	OG0006471	n0	XP_057369546.1	CAH0109110.1	XP_045029086.1	Daphnia00500-RA	XP_046456839.1	XP_046638124.1	KAI9559050.1
N0.HOG0007899	OG0006472	n0	XP_057369551.1	CAH0106445.1	XP_032783444.2	Daphnia00238-RA	XP_046456254.1	XP_046645911.1	KAI9559006.1
N0.HOG0007900	OG0006473	n0	XP_057369552.1	CAH0109094.1	XP_032783367.1	Daphnia00485-RA	XP_046456914.1	XP_046638172.1	KAI9559068.1
N0.HOG0007901	OG0006474	n0	XP_057369564.1	CAH0109079.1	XP_032783350.2	Daphnia00474-RA	XP_046456917.1	XP_046638230.1	KAI9559081.1
N0.HOG0007902	OG0006475	n0	XP_057369566.1	CAH0109098.1	XP_032783382.2	Daphnia00489-RA	XP_046456923.1	XP_046638283.1	KAI9559064.1
N0.HOG0007903	OG0006476	n0	XP_057369568.1	CAH0106403.1	XP_032783429.1	Daphnia00115-RA	XP_046459424.1	XP_046646035.1	KAI9559027.1
N0.HOG0007904	OG0006477	n0	XP_057369569.1	CAH0106453.1	XP_032783445.1	Daphnia00246-RA	XP_046456263.1	XP_046646046.1	KAI9559015.1
N0.HOG0007905	OG0006478	n0	XP_057369572.1	CAH0109113.1	XP_032783393.2	Daphnia00504-RA	XP_046456843.1	XP_046638337.1	KAI9559047.1
N0.HOG0007906	OG0006479	n0	XP_057369576.1	CAH0106401.1	XP_032783430.1	Daphnia00113-RB	XP_046459414.1	XP_046646064.1	KAI9559025.1
N0.HOG0007907	OG0006480	n0	XP_057369577.1	CAH0106457.1	XP_032783447.1	Daphnia00250-RA	XP_046456269.1	XP_046646094.1	KAI9559019.1
N0.HOG0007908	OG0006481	n0	XP_057369578.1	CAH0109107.1	XP_032783395.1	Daphnia00496-RA	XP_046456925.1	XP_046638384.1	KAI9559054.1
N0.HOG0007909	OG0006482	n0	XP_057369579.1	CAH0109070.1	XP_032783421.1	Daphnia00462-RA	XP_046456799.1	XP_046638395.1	KAI9559037.1
N0.HOG0007910	OG0006483	n0	XP_057369581.1	CAH0109096.1	XP_032783374.2	Daphnia00487-RA	XP_046456927.1	XP_046638391.1	KAI9559066.1
N0.HOG0007911	OG0006484	n0	XP_057369582.1	CAH0102168.1	XP_032783420.1	Daphnia04895-RA	XP_046450096.1		KAI9562748.1, KAI9559033.1
N0.HOG0007912	OG0006485	n0	XP_057369587.1	CAH0106454.1	XP_032783448.1	Daphnia00247-RA	XP_046456272.1	XP_046646144.1	KAI9559016.1
N0.HOG0007913	OG0006486	n0	XP_057369589.1	CAH0106446.1	XP_032783449.1	Daphnia00239-RA	XP_046456273.1	XP_046646158.1	KAI9559007.1
N0.HOG0007914	OG0006487	n0	XP_057369590.1	CAH0109109.1	XP_032783396.2	Daphnia00499-RA	XP_046456858.1	XP_046638428.1	KAI9559051.1
N0.HOG0007915	OG0006488	n0	XP_057369595.1	CAH0109097.1	XP_032783377.2	Daphnia00488-RA	XP_046456932.1	XP_046638457.1	KAI9559065.1
N0.HOG0007916	OG0006489	n0	XP_057369599.1	CAH0106458.1	XP_032783452.1	Daphnia00251-RA	XP_046456275.1	XP_046646262.1	KAI9559020.1
N0.HOG0007917	OG0006490	n0	XP_057369602.1	CAH0109114.1	XP_032783398.1	Daphnia00505-RA	XP_046456849.1	XP_046638508.1	KAI9559046.1
N0.HOG0007918	OG0006491	n0	XP_057369606.1	CAH0106447.1	XP_045028916.1	Daphnia00241-RA	XP_046456277.1	XP_046646275.1	KAI9559008.1
N0.HOG0007919	OG0006492	n0	XP_057369608.1	CAH0109082.1	XP_032783351.2	Daphnia00476-RA	XP_046456935.1	XP_046638536.1	KAI9559080.1
N0.HOG0007920	OG0006493	n0	XP_057369610.1	CAH0109108.1	XP_032783400.2	Daphnia00497-RA	XP_046456860.1	XP_046638573.1	KAI9559053.1
N0.HOG0007921	OG0006494	n0	XP_057369612.1	CAH0109091.1	XP_045029069.1	Daphnia00483-RA	XP_046456861.1	XP_046637810.1	KAI9559072.1
N0.HOG0007922	OG0006495	n0	XP_057369613.1	CAH0109075.1	XP_032783406.2	Daphnia00457-RA	XP_046456781.1	XP_046637822.1	KAI9559041.1
N0.HOG0007923	OG0006496	n0	XP_057369614.1	CAH0106449.1	XP_032783432.1	Daphnia00242-RA	XP_046456240.1	XP_046645673.1	KAI9559010.1
N0.HOG0007924	OG0006497	n0	XP_057369615.1	CAH0109085.1	XP_032783341.2	Daphnia00478-RB	XP_046456870.1	XP_046637890.1	KAI9559078.1
N0.HOG0007925	OG0006498	n0	XP_057369616.1	CAH0106455.1	XP_032783433.2	Daphnia00248-RA	XP_046456247.1	XP_046645763.1	KAI9559017.1
N0.HOG0007926	OG0006499	n0	XP_057369617.1	CAH0107451.1	XP_032783390.2		XP_046453775.1, XP_046454841.1	XP_046654495.1	KAI9559056.1
N0.HOG0007927	OG0006500	n0	XP_057369618.1	CAH0106460.1	XP_032783443.1	Daphnia00253-RA	XP_046456253.1	XP_046645878.1	KAI9559022.1
N0.HOG0007928	OG0006501	n0	XP_057369628.1, XP_057380649.1, XP_057379644.1		XP_045025184.1, XP_045036926.1, XP_045028541.1				KAI9558481.1
N0.HOG0007929	OG0006502	n0	XP_057369650.1	CAH0102379.1	XP_032783132.2	Daphnia01368-RA	XP_046456194.1	XP_046648213.1	KAI9558230.1
N0.HOG0007930	OG0006503	n0	XP_057369660.1	CAH0100687.1	XP_032777817.2	Daphnia12067-RC	XP_046447143.1	XP_046635876.1	KAI9564843.1
N0.HOG0007931	OG0006504	n0	XP_057369672.1	CAH0100695.1	XP_032777865.2	Daphnia12059-RB	XP_046447165.1	XP_046635907.1	KAI9564851.1
N0.HOG0007932	OG0006505	n0	XP_057369674.1	CAH0102356.1	XP_032777916.1	Daphnia11996-RA	XP_046447289.1	XP_046644307.1	KAI9564866.1
N0.HOG0007933	OG0006506	n0	XP_057369675.1	CAH0102358.1	XP_032777915.2	Daphnia11994-RA	XP_046450916.1	XP_046644309.1	KAI9564865.1
N0.HOG0007934	OG0006507	n0	XP_057369677.1	CAH0102360.1	XP_032777935.1	Daphnia11445-RA	XP_046439619.1	XP_046643535.1	KAI9564864.1
N0.HOG0007935	OG0006508	n0	XP_057369679.1	CAH0100698.1	XP_032777953.1	Daphnia12057-RA	XP_046447173.1	XP_046636066.1	KAI9564854.1
N0.HOG0007936	OG0006509	n0	XP_057369690.1	CAH0102357.1	XP_045025745.1, XP_032778013.2	Daphnia11995-RA	XP_046451050.1	XP_046644313.1	
N0.HOG0007937	OG0006510	n0	XP_057369691.1	CAH0102364.1	XP_032778024.2	Daphnia11440-RA	XP_046439606.1	XP_046643569.1	KAI9564856.1
N0.HOG0007938	OG0006511	n0	XP_057369693.1, XP_057369692.1		XP_045025746.1, XP_032776285.1		XP_046439652.1	XP_046643573.1	KAI9564863.1
N0.HOG0007939	OG0006512	n0	XP_057369694.1	CAH0100693.1	XP_045025422.1	Daphnia12061-RA	XP_046447163.1	XP_046635854.1	KAI9564849.1
N0.HOG0007940	OG0006513	n0	XP_057369695.1	CAH0100692.1	XP_032776284.1	Daphnia12062-RA	XP_046447172.1	XP_046636272.1	KAI9564848.1
N0.HOG0007941	OG0006514	n0	XP_057369711.1	CAH0113018.1	XP_045025756.1	Daphnia11926-RA	XP_046452465.1	XP_046644341.1	KAI9564711.1
N0.HOG0007942	OG0006515	n0	XP_057369712.1	CAH0113023.1	XP_032797520.1	Daphnia11920-RA	XP_046450020.1	XP_046644539.1	KAI9564716.1
N0.HOG0007943	OG0006516	n0	XP_057369725.1	CAH0111185.1	XP_045025753.1	Daphnia11358-RC	XP_046440869.1	XP_046649129.1	KAI9564709.1
N0.HOG0007944	OG0006517	n0	XP_057369728.1	CAH0112106.1	XP_045026099.1	Daphnia11738-RA	XP_046452567.1	XP_046644315.1	KAI9565820.1
N0.HOG0007945	OG0006518	n0	XP_057369729.1	CAH0112111.1	XP_045025240.1	Daphnia11741-RA	XP_046454292.1	XP_046642925.1	KAI9565823.1
N0.HOG0007946	OG0006519	n0	XP_057369730.1	CAH0112112.1	XP_032776324.2	Daphnia11742-RA	XP_046454394.1	XP_046642926.1	KAI9565824.1
N0.HOG0007947	OG0006520	n0	XP_057369732.1	CAH0112102.1	XP_032776381.2	Daphnia12018-RA	XP_046437983.1	XP_046643735.1	KAI9565818.1
N0.HOG0007948	OG0006521	n0	XP_057369735.1	CAH0112109.1	XP_032776457.2	Daphnia11739-RA	XP_046452579.1	XP_046644316.1	KAI9565821.1
N0.HOG0007949	OG0006522	n0	XP_057369738.1	CAH0099878.1	XP_032776516.1	Daphnia11745-RA	XP_046438579.1	XP_046644527.1	KAI9565828.1
N0.HOG0007950	OG0006523	n0	XP_057369741.1	CAH0112101.1	XP_032776557.1	Daphnia12017-RB	XP_046437987.1	XP_046643766.1	KAI9565816.1
N0.HOG0007951	OG0006524	n0	XP_057369745.1	CAH0102334.1	XP_045025590.1	Daphnia12344-RA	XP_046447561.1	XP_046634867.1	KAI9564888.1
N0.HOG0007952	OG0006525	n0	XP_057369750.1	CAH0102340.1	XP_032778060.2	Daphnia12010-RA	XP_046443729.1	XP_046643743.1	KAI9564881.1
N0.HOG0007953	OG0006526	n0	XP_057369760.1	CAH0102335.1	XP_032778068.1	Daphnia12343-RC	XP_046446996.1	XP_046635262.1	KAI9564889.1
N0.HOG0007954	OG0006527	n0	XP_057369764.1	CAH0102322.1	XP_032777290.1	Daphnia12352-RB	XP_046445938.1	XP_046635317.1	KAI9564904.1
N0.HOG0007955	OG0006528	n0	XP_057369777.1	CAH0102336.1	XP_032778075.1, XP_032778073.1		XP_046447006.1	XP_046635418.1	KAI9564890.1
N0.HOG0007956	OG0006529	n0	XP_057369780.1	CAH0102339.1	XP_032797626.2	Daphnia12011-RA	XP_046443708.1	XP_046643734.1	KAI9564882.1
N0.HOG0007957	OG0006530	n0	XP_057369786.1, XP_057369787.1	CAH0103986.1	XP_032776326.2		XP_046445661.1	XP_046635790.1	KAI9566020.1
N0.HOG0007958	OG0006531	n0	XP_057369788.1	CAH0101413.1	XP_032776342.1	Daphnia12134-RA	XP_046445731.1	XP_046635815.1	KAI9566030.1
N0.HOG0007959	OG0006532	n0	XP_057369808.1, XP_057369807.1		XP_032776539.2		XP_046447458.1	XP_046636187.1, XP_046636188.1	KAI9566011.1
N0.HOG0007960	OG0006533	n0	XP_057369812.1	CAH0103983.1	XP_032776399.1	Daphnia12141-RA	XP_046445726.1	XP_046635966.1	KAI9566024.1
N0.HOG0007961	OG0006534	n0	XP_057369813.1	CAH0102562.1	XP_032779082.2	Daphnia12489-RA	XP_046446380.1	XP_046634812.1	KAI9565359.1
N0.HOG0007962	OG0006535	n0	XP_057369818.1	CAH0098928.1	XP_032777708.2	Daphnia12497-RA	XP_046446363.1	XP_046634928.1	KAI9565366.1
N0.HOG0007963	OG0006536	n0	XP_057369819.1	CAH0098931.1	XP_045025526.1	Daphnia12499-RB	XP_046446364.1	XP_046634941.1	KAI9565369.1
N0.HOG0007964	OG0006537	n0	XP_057369843.1	CAH0099966.1	XP_032777329.2	Daphnia11694-RA	XP_046452822.1	XP_046643808.1	KAI9565851.1
N0.HOG0007965	OG0006538	n0	XP_057369844.1	CAH0099680.1	XP_032777551.2	Daphnia12693-RA	XP_046445871.1	XP_046635670.1	KAI9565859.1
N0.HOG0007966	OG0006539	n0	XP_057369845.1	CAH0099681.1	XP_045025798.1	Daphnia12692-RA	XP_046445874.1	XP_046635674.1	KAI9565858.1
N0.HOG0007967	OG0006540	n0	XP_057369847.1	CAH0099675.1	XP_032777557.2	Daphnia12699-RA	XP_046445875.1	XP_046635730.1	KAI9565864.1
N0.HOG0007968	OG0006541	n0	XP_057369851.1	CAH0099676.1	XP_032777563.2	Daphnia12697-RA	XP_046445882.1	XP_046636325.1	KAI9565863.1
N0.HOG0007969	OG0006542	n0	XP_057369852.1	CAH0099677.1	XP_032777564.2	Daphnia12696-RA	XP_046445883.1	XP_046636326.1	KAI9565862.1
N0.HOG0007970	OG0006543	n0	XP_057369854.1	CAH0099964.1	XP_032777332.1	Daphnia11693-RA	XP_046459243.1	XP_046644243.1	KAI9565853.1
N0.HOG0007971	OG0006544	n0	XP_057369863.1	CAH0099762.1	XP_032778170.2	Daphnia12619-RA	XP_046446718.1	XP_046635543.1	KAI9566046.1
N0.HOG0007972	OG0006545	n0	XP_057369864.1	CAH0113724.1	XP_032778713.2	Daphnia06724-RA	XP_046439075.1	XP_046633016.1	KAI9566050.1
N0.HOG0007973	OG0006546	n0	XP_057369872.1	CAH0099760.1	XP_032778176.2	Daphnia12621-RA	XP_046446727.1	XP_046635640.1	KAI9566044.1
N0.HOG0007974	OG0006547	n0	XP_057369878.1	CAH0110886.1	XP_032778408.1	Daphnia12216-RA	XP_046447221.1	XP_046635813.1	KAI9566055.1
N0.HOG0007975	OG0006548	n0	XP_057369879.1	CAH0099758.1	XP_032778181.1	Daphnia12622-RA	XP_046446730.1	XP_046635658.1	KAI9566042.1
N0.HOG0007976	OG0006549	n0	XP_057369880.1		XP_032778081.2		XP_046437782.1, XP_046437774.1	XP_046643432.1, XP_046643447.1	KAI9564924.1
N0.HOG0007977	OG0006550	n0	XP_057369882.1	CAH0110298.1	XP_032777306.2	Daphnia11099-RA	XP_046442677.1	XP_046649563.1	KAI9564918.1
N0.HOG0007978	OG0006551	n0	XP_057369883.1	CAH0110290.1	XP_045025612.1	Daphnia11090-RA	XP_046442823.1	XP_046649778.1	KAI9564907.1
N0.HOG0007979	OG0006552	n0	XP_057369887.1	CAH0110293.1	XP_032777295.2	Daphnia11093-RA	XP_046442752.1	XP_046649823.1	KAI9564912.1
N0.HOG0007980	OG0006553	n0	XP_057369889.1	CAH0110299.1	XP_032779383.1	Daphnia11100-RA	XP_046442667.1	XP_046649921.1	KAI9564919.1
N0.HOG0007981	OG0006554	n0	XP_057369902.1	CAH0099783.1	XP_045024612.1	Daphnia12101-RA	XP_046447636.1	XP_046635811.1	KAI9565439.1
N0.HOG0007982	OG0006555	n0	XP_057369905.1	CAH0099782.1	XP_045025701.1	Daphnia12102-RA	XP_046445685.1	XP_046635851.1	KAI9565440.1
N0.HOG0007983	OG0006556	n0	XP_057369910.1	CAH0113634.1	XP_032795245.2	Daphnia07373-RA	XP_046454150.1	XP_046656583.1	KAI9553247.1
N0.HOG0007984	OG0006557	n0	XP_057369932.1	CAH0110288.1	XP_045025611.1	Daphnia11088-RA	XP_046442924.1	XP_046650503.1	KAI9564905.1
N0.HOG0007985	OG0006558	n0	XP_057369934.1	CAH0102337.1	XP_032778052.2	Daphnia12341-RA	XP_046446992.1	XP_046634894.1	KAI9564892.1
N0.HOG0007986	OG0006559	n0	XP_057369935.1	CAH0100694.1	XP_032778020.1	Daphnia12060-RA	XP_046447171.1	XP_046636163.1	KAI9564850.1
N0.HOG0007987	OG0006560	n0	XP_057381560.1, XP_057369936.1	CAH0098557.1	XP_032795236.1		XP_046454443.1	XP_046656902.1	KAI9553240.1
N0.HOG0007988	OG0006561	n0	XP_057369937.1	CAH0100688.1	XP_032777905.2	Daphnia12066-RA	XP_046447158.1	XP_046635976.1	KAI9564844.1
N0.HOG0007989	OG0006562	n0	XP_057369941.1	CAH0106163.1	XP_032779289.2	Daphnia12043-RA	XP_046445900.1	XP_046636006.1	KAI9565411.1
N0.HOG0007990	OG0006563	n0	XP_057369944.1	CAH0098929.1	XP_032777710.2	Daphnia12498-RA	XP_046446372.1	XP_046635153.1	KAI9565367.1
N0.HOG0007991	OG0006564	n0	XP_057369952.1	CAH0108472.1	XP_032776391.1	Daphnia12338-RC	XP_046447268.1	XP_046634965.1	KAI9565807.1
N0.HOG0007992	OG0006565	n0	XP_057369954.1	CAH0099963.1	XP_032777334.1	Daphnia11676-RA	XP_046445852.1	XP_046644100.1	KAI9565854.1
N0.HOG0007993	OG0006566	n0	XP_057369969.1, XP_057381538.1		XP_032795235.1	Daphnia07270-RA	XP_046454444.1	XP_046656946.1	KAI9553239.1
N0.HOG0007994	OG0006567	n0	XP_057369979.1	CAH0099759.1	XP_032778182.1	Daphnia12623-RA	XP_046446731.1	XP_046635661.1	KAI9566043.1
N0.HOG0007995	OG0006568	n0	XP_057369984.1	CAH0104449.1	XP_032776357.2	Daphnia11704-RA	XP_046446654.1	XP_046643887.1	KAI9565841.1
N0.HOG0007996	OG0006569	n0	XP_057369990.1	CAH0105236.1	XP_045025462.1	Daphnia11700-RA	XP_046443856.1	XP_046643824.1	KAI9565846.1
N0.HOG0007997	OG0006570	n0	XP_057369993.1	CAH0100408.1	XP_045025760.1, XP_045025762.1	Daphnia11915-RC		XP_046643772.1	KAI9564728.1
N0.HOG0007998	OG0006571	n0	XP_057369994.1	CAH0100684.1	XP_032777945.1	Daphnia12568-RA		XP_046635202.1, XP_046635186.1	KAI9564840.1
N0.HOG0007999	OG0006572	n0	XP_057369995.1	CAH0100683.1	XP_032777989.1	Daphnia12570-RA	XP_046446594.1	XP_046635328.1	KAI9564839.1
N0.HOG0008000	OG0006573	n0	XP_057369998.1	CAH0104108.1	XP_032778948.1	Daphnia11402-RA	XP_046439749.1	XP_046643557.1	KAI9564944.1
N0.HOG0008001	OG0006574	n0	XP_057369999.1	CAH0104101.1	XP_032778956.1	Daphnia11464-RA	XP_046438639.1	XP_046643558.1	KAI9564952.1
